[ INFO] 2017-03-04 11:07:57,582 [anonymous] [192.168.0.103] RECEIVED: PWD
[ INFO] 2017-03-04 11:07:57,585 [anonymous] [192.168.0.103] SENT: 257 "/" is current directory.

[ INFO] 2017-03-04 11:07:57,585 [anonymous] [192.168.0.103] RECEIVED: TYPE I
[ INFO] 2017-03-04 11:07:57,587 [anonymous] [192.168.0.103] SENT: 200 Command TYPE okay.

[ INFO] 2017-03-04 11:07:57,587 [anonymous] [192.168.0.103] RECEIVED: SIZE /
[ INFO] 2017-03-04 11:07:57,588 [anonymous] [192.168.0.103] SENT: 550 /: Not a plain file.

[ INFO] 2017-03-04 11:07:57,588 [anonymous] [192.168.0.103] RECEIVED: CWD /
[ INFO] 2017-03-04 11:07:57,590 [anonymous] [192.168.0.103] SENT: 250 Directory changed to /

[ INFO] 2017-03-04 11:07:57,590 [anonymous] [192.168.0.103] RECEIVED: PASV
[ INFO] 2017-03-04 11:07:57,595 [anonymous] [192.168.0.103] SENT: 227 Entering Passive Mode (192,168,0,103,201,201)

[ INFO] 2017-03-04 11:07:57,595 [anonymous] [192.168.0.103] RECEIVED: LIST -l
[ WARN] 2017-03-04 11:07:57,625 [anonymous] [192.168.0.103] Releasing unreserved passive port: 51657
[ INFO] 2017-03-04 11:07:57,625 [anonymous] [192.168.0.103] SENT: 150 File status okay; about to open data connection.

[ INFO] 2017-03-04 11:07:57,625 [anonymous] [192.168.0.103] CLOSED
[ INFO] 2017-03-04 11:08:02,642 [] [192.168.0.103] CREATED
[ INFO] 2017-03-04 11:08:02,642 [] [192.168.0.103] OPENED
[ INFO] 2017-03-04 11:08:02,644 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-04 11:08:02,644 [] [192.168.0.103] RECEIVED: USER anonymous
[ INFO] 2017-03-04 11:08:02,646 [anonymous] [192.168.0.103] RECEIVED: PASS *****
[ INFO] 2017-03-04 11:08:02,647 [anonymous] [192.168.0.103] Anonymous login success - chrome@example.com
[ INFO] 2017-03-04 11:08:02,647 [anonymous] [192.168.0.103] SENT: 331 Guest login okay, send your complete e-mail address as password.

[ INFO] 2017-03-04 11:08:02,648 [anonymous] [192.168.0.103] SENT: 230 User logged in, proceed.

[ INFO] 2017-03-04 11:08:02,648 [anonymous] [192.168.0.103] RECEIVED: SYST
[ INFO] 2017-03-04 11:08:02,649 [anonymous] [192.168.0.103] SENT: 215 UNIX Type: Apache FtpServer

[ INFO] 2017-03-04 11:08:02,650 [anonymous] [192.168.0.103] RECEIVED: PWD
[ INFO] 2017-03-04 11:08:02,650 [anonymous] [192.168.0.103] SENT: 257 "/" is current directory.

[ INFO] 2017-03-04 11:08:02,651 [anonymous] [192.168.0.103] RECEIVED: TYPE I
[ INFO] 2017-03-04 11:08:02,651 [anonymous] [192.168.0.103] SENT: 200 Command TYPE okay.

[ INFO] 2017-03-04 11:08:02,652 [anonymous] [192.168.0.103] RECEIVED: SIZE /README.txt
[ INFO] 2017-03-04 11:08:02,653 [anonymous] [192.168.0.103] SENT: 213 28

[ INFO] 2017-03-04 11:08:02,653 [anonymous] [192.168.0.103] RECEIVED: CWD /README.txt
[ INFO] 2017-03-04 11:08:02,655 [anonymous] [192.168.0.103] SENT: 550 No such directory.

[ INFO] 2017-03-04 11:08:02,655 [anonymous] [192.168.0.103] RECEIVED: PASV
[ INFO] 2017-03-04 11:08:02,656 [anonymous] [192.168.0.103] SENT: 227 Entering Passive Mode (192,168,0,103,201,204)

[ INFO] 2017-03-04 11:08:02,657 [anonymous] [192.168.0.103] RECEIVED: RETR /README.txt
[ INFO] 2017-03-04 11:08:02,711 [anonymous] [192.168.0.103] File downloaded /README.txt
[ WARN] 2017-03-04 11:08:02,712 [anonymous] [192.168.0.103] Releasing unreserved passive port: 51660
[ INFO] 2017-03-04 11:08:02,712 [anonymous] [192.168.0.103] SENT: 150 File status okay; about to open data connection.

[ INFO] 2017-03-04 11:08:02,712 [anonymous] [192.168.0.103] SENT: 226 Transfer complete.

[ INFO] 2017-03-04 11:08:02,712 [anonymous] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-04 11:08:02,714 [anonymous] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-04 11:08:02,714 [anonymous] [192.168.0.103] CLOSED
[ INFO] 2017-03-04 11:08:04,386 [] [192.168.0.103] CREATED
[ INFO] 2017-03-04 11:08:04,387 [] [192.168.0.103] OPENED
[ INFO] 2017-03-04 11:08:04,387 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-04 11:08:04,388 [] [192.168.0.103] RECEIVED: USER anonymous
[ INFO] 2017-03-04 11:08:04,388 [anonymous] [192.168.0.103] SENT: 331 Guest login okay, send your complete e-mail address as password.

[ INFO] 2017-03-04 11:08:04,389 [anonymous] [192.168.0.103] RECEIVED: PASS *****
[ INFO] 2017-03-04 11:08:04,389 [anonymous] [192.168.0.103] Anonymous login success - chrome@example.com
[ INFO] 2017-03-04 11:08:04,390 [anonymous] [192.168.0.103] SENT: 230 User logged in, proceed.

[ INFO] 2017-03-04 11:08:04,390 [anonymous] [192.168.0.103] RECEIVED: SYST
